site_code,obs_year,parameter,obs_value,arable_prop,arable_prop_buff_100,arable_prop_buff_1000,arable_prop_buff_500,area,awc1_min,awc1_max,awc1_mean,awc1_std,bd1_min,bd1_max,bd1_mean,bd1_std,clay1_min,clay1_max,clay1_mean,clay1_std,dem_min,dem_max,dem_mean,dem_std,flowlength_min,flowlength_max,flowlength_mean,flowlength_std,forest_disturb_prop_buff_100,forest_disturb_prop_buff_1000,forest_disturb_prop_buff_500,forest_prop,grassland_prop,k1_min,k1_max,k1_mean,k1_std,limestone_prop,livestock_density,manure_dep_n,manure_dep_p,other_prop,pol_sen_drain_h_prop,pol_sen_drain_vh_prop,pol_sen_nat_h_prop,pol_sen_nat_vh_prop,precip_mean,rip_veg_drain_prop,rip_veg_nat_prop,rock1_min,rock1_max,rock1_mean,rock1_std,sand1_min,sand1_max,sand1_mean,sand1_std,silt1_min,silt1_max,silt1_mean,silt1_std,slope_min,slope_max,slope_mean,slope_std,snow_depth_mean,soc1_min,soc1_max,soc1_mean,soc1_std,stream_density,temp_max,temp_mean,temp_min,tri_min,tri_max,tri_mean,tri_std,twi_min,twi_max,twi_mean,twi_std,urban_prop,water_prop,wetland_prop
SJA0664000,2016,TN,2.057,0.324,0.146,0.32,0.303,327415225.0,0.0,0.205,0.188,0.005,0.0,1.498,1.166,0.321,0.0,70.0,16.609,19.926,51.919,205.491,110.413,32.541,0.0,837.715,53.294,62.092,0.009,0.006,0.007,0.525,0.057,3.67,645.68,58.004,55.221,0.0,0.182,27.574,12.95,0.023,0.112,0.014,0.141,0.024,875.182,0.508,0.769,0.0,85.0,2.638,8.144,15.0,100.0,72.166,24.595,0.0,50.0,11.225,7.558,0.0,64.406,3.187,3.55,3.308,0.961,35.037,6.426,8.576,0.001,29.974,6.23,-26.454,0.0,12.076,0.225,0.237,0.673,15.491,8.478,1.927,0.028,0.009,0.035
SJA0664000,2017,TN,1.167,0.324,0.146,0.32,0.303,327415225.0,0.0,0.205,0.188,0.005,0.0,1.498,1.166,0.321,0.0,70.0,16.609,19.926,51.919,205.491,110.413,32.541,0.0,837.715,53.294,62.092,0.01,0.008,0.01,0.525,0.057,3.67,645.68,58.004,55.221,0.0,0.182,27.518,12.91,0.023,0.112,0.014,0.141,0.024,832.186,0.508,0.769,0.0,85.0,2.638,8.144,15.0,100.0,72.166,24.595,0.0,50.0,11.225,7.558,0.0,64.406,3.187,3.55,1.858,0.961,35.037,6.426,8.576,0.001,28.223,6.057,-21.473,0.0,12.076,0.225,0.237,0.673,15.491,8.478,1.927,0.028,0.009,0.035
SJA0664000,2018,TN,1.269,0.324,0.146,0.32,0.303,327415225.0,0.0,0.205,0.188,0.005,0.0,1.498,1.166,0.321,0.0,70.0,16.609,19.926,51.919,205.491,110.413,32.541,0.0,837.715,53.294,62.092,0.011,0.008,0.009,0.525,0.057,3.67,645.68,58.004,55.221,0.0,0.182,29.24,13.669,0.023,0.112,0.014,0.141,0.024,586.319,0.508,0.769,0.0,85.0,2.638,8.144,15.0,100.0,72.166,24.595,0.0,50.0,11.225,7.558,0.0,64.406,3.187,3.55,3.764,0.961,35.037,6.426,8.576,0.001,30.072,6.963,-25.083,0.0,12.076,0.225,0.237,0.673,15.491,8.478,1.927,0.028,0.009,0.035
SJA0664000,2019,TN,1.26,0.324,0.146,0.32,0.303,327415225.0,0.0,0.205,0.188,0.005,0.0,1.498,1.166,0.321,0.0,70.0,16.609,19.926,51.919,205.491,110.413,32.541,0.0,837.715,53.294,62.092,0.009,0.006,0.007,0.525,0.057,3.67,645.68,58.004,55.221,0.0,0.182,27.252,12.576,0.023,0.112,0.014,0.141,0.024,713.961,0.508,0.769,0.0,85.0,2.638,8.144,15.0,100.0,72.166,24.595,0.0,50.0,11.225,7.558,0.0,64.406,3.187,3.55,7.369,0.961,35.037,6.426,8.576,0.001,29.543,7.22,-18.058,0.0,12.076,0.225,0.237,0.673,15.491,8.478,1.927,0.028,0.009,0.035
SJA0664000,2020,TN,1.303,0.324,0.146,0.32,0.303,327415225.0,0.0,0.205,0.188,0.005,0.0,1.498,1.166,0.321,0.0,70.0,16.609,19.926,51.919,205.491,110.413,32.541,0.0,837.715,53.294,62.092,0.008,0.007,0.008,0.525,0.057,3.67,645.68,58.004,55.221,0.0,0.182,26.394,12.263,0.023,0.112,0.014,0.141,0.024,719.066,0.508,0.769,0.0,85.0,2.638,8.144,15.0,100.0,72.166,24.595,0.0,50.0,11.225,7.558,0.0,64.406,3.187,3.55,0.706,0.961,35.037,6.426,8.576,0.001,29.269,8.023,-13.611,0.0,12.076,0.225,0.237,0.673,15.491,8.478,1.927,0.028,0.009,0.035
SJA0680000,2017,TN,5.125,0.347,0.367,0.378,0.387,142521850.0,0.172,0.201,0.189,0.004,0.398,1.473,1.019,0.296,0.0,70.0,22.883,21.832,1.554,36.96,17.108,4.87,0.0,326.252,19.163,21.142,0.004,0.005,0.006,0.535,0.045,3.67,645.68,37.001,50.073,1.0,0.188,30.977,12.976,0.017,0.0,0.0,0.0,0.0,738.216,0.426,0.614,0.0,85.0,5.538,11.223,15.0,100.0,60.394,24.778,0.0,50.0,16.723,9.125,0.0,30.442,0.931,1.238,0.421,1.149,31.725,8.716,9.004,0.0,25.239,7.449,-11.315,0.0,2.225,0.084,0.108,2.476,14.18,9.941,1.221,0.017,0.001,0.037
SJA0680000,2018,TN,2.975,0.347,0.367,0.378,0.387,142521850.0,0.172,0.201,0.189,0.004,0.398,1.473,1.019,0.296,0.0,70.0,22.883,21.832,1.554,36.96,17.108,4.87,0.0,326.252,19.163,21.142,0.005,0.003,0.005,0.535,0.045,3.67,645.68,37.001,50.073,1.0,0.188,30.384,12.531,0.017,0.0,0.0,0.0,0.0,569.222,0.426,0.614,0.0,85.0,5.538,11.223,15.0,100.0,60.394,24.778,0.0,50.0,16.723,9.125,0.0,30.442,0.931,1.238,1.728,1.149,31.725,8.716,9.004,0.0,30.381,8.139,-17.906,0.0,2.225,0.084,0.108,2.476,14.18,9.941,1.221,0.017,0.001,0.037
SJA0706000,2016,TN,1.855,0.298,0.244,0.32,0.319,1045248875.0,0.0,0.213,0.19,0.006,0.371,1.528,1.116,0.339,0.0,70.0,20.58,22.825,34.215,217.671,82.442,33.457,0.0,974.222,45.263,59.134,0.006,0.006,0.008,0.459,0.08,3.67,645.68,49.16,52.747,0.0,0.081,21.713,9.6,0.026,0.045,0.004,0.112,0.022,863.501,0.432,0.584,0.0,85.0,2.589,8.056,15.0,100.0,66.251,27.315,0.0,50.0,13.168,8.937,0.0,49.287,2.873,3.398,3.033,0.743,34.814,7.477,9.188,0.001,29.532,6.387,-28.389,0.0,4.663,0.209,0.224,1.909,16.221,8.65,1.896,0.029,0.017,0.025
SJA0813000,2020,TN,3.25,0.452,0.223,0.499,0.475,40233750.0,0.174,0.207,0.193,0.004,0.412,1.436,1.124,0.248,0.0,70.0,18.856,15.072,75.032,133.484,102.6,12.379,0.0,714.893,56.761,63.458,0.0,0.002,0.0,0.395,0.076,5.09,645.68,11.639,15.472,0.983,0.096,22.608,10.282,0.023,0.0,0.0,0.074,0.0,787.364,0.0,0.527,0.0,85.0,7.143,8.342,15.0,100.0,59.994,15.171,0.0,50.0,21.15,5.928,0.0,38.567,2.916,3.912,0.683,1.446,30.285,6.031,6.55,0.0,28.126,7.65,-11.474,0.0,4.09,0.207,0.272,2.373,16.631,9.019,2.097,0.033,0.007,0.014
SJA0903000,2020,TN,1.145,0.206,0.077,0.148,0.111,265627850.0,0.168,0.21,0.192,0.006,0.397,1.469,0.946,0.385,0.0,70.0,28.408,25.353,39.753,142.113,84.558,18.832,0.0,587.755,27.975,35.99,0.006,0.004,0.006,0.515,0.051,3.67,645.68,45.941,62.31,0.669,0.023,20.555,9.258,0.029,0.004,0.0,0.018,0.001,819.272,0.51,0.645,0.0,85.0,4.394,7.998,15.0,100.0,56.382,29.528,0.0,50.0,15.21,7.883,0.0,39.26,1.21,2.031,0.557,1.183,31.845,12.003,11.379,0.0,28.23,7.733,-13.902,0.0,4.034,0.097,0.145,1.845,15.264,9.916,1.485,0.019,0.018,0.161
