obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
196,SJA4586000,2020,1.265,0.496,39293275.0,20.231,0.325,0.054,38.553,0.0,0.001,0.02,727.91,5.461,68.41,11.359,1.619,7.735,0.001,9.334,0.046,0.012,0.047
197,SJA4604000,2017,1.205,0.293,568324400.0,19.438,0.54,0.051,38.29,0.0,0.086,0.03,888.595,2.96,67.133,13.428,1.56,7.236,0.001,9.788,0.023,0.006,0.038
198,SJA4658000,2016,3.05,0.518,85046625.0,20.707,0.343,0.066,24.105,0.0,0.268,0.025,840.725,4.926,63.103,16.19,2.15,6.45,0.001,8.963,0.038,0.002,0.007
199,SJA4729000,2020,3.55,0.318,47704900.0,22.214,0.425,0.102,20.236,0.514,0.261,0.031,845.603,8.991,55.658,22.128,1.096,8.901,0.0,10.084,0.064,0.004,0.055
200,SJA4784000,2017,1.332,0.12,53298625.0,19.849,0.546,0.042,50.316,0.0,0.004,0.014,878.151,3.691,65.12,15.03,0.851,10.727,0.001,9.895,0.007,0.006,0.199
201,SJA4852000,2016,6.2,0.244,64978125.0,39.916,0.512,0.135,15.11,0.361,0.02,0.017,747.665,6.489,40.107,19.977,1.11,15.84,0.0,9.814,0.017,0.006,0.069
202,SJA4852000,2020,5.0,0.244,64978125.0,39.916,0.512,0.135,15.11,0.361,0.02,0.017,823.391,6.489,40.107,19.977,1.11,15.84,0.0,9.814,0.017,0.006,0.069
203,SJA5140000,2016,3.625,0.241,1938188821.1,29.226,0.54,0.05,35.526,0.845,0.063,0.027,786.537,4.547,53.8,16.974,1.285,11.854,0.0,9.724,0.026,0.01,0.106
204,SJA5140000,2017,3.142,0.241,1938188821.1,29.226,0.54,0.05,35.526,0.845,0.063,0.027,851.73,4.547,53.8,16.974,1.285,11.854,0.0,9.724,0.026,0.01,0.106
205,SJA5140000,2018,2.48,0.241,1938188821.1,29.226,0.54,0.05,35.526,0.845,0.063,0.027,562.763,4.547,53.8,16.974,1.285,11.854,0.0,9.724,0.026,0.01,0.106
206,SJA5140000,2019,3.097,0.241,1938188821.1,29.226,0.54,0.05,35.526,0.845,0.063,0.027,795.233,4.547,53.8,16.974,1.285,11.854,0.0,9.724,0.026,0.01,0.106
207,SJA5140000,2020,3.417,0.241,1938188821.1,29.226,0.54,0.05,35.526,0.845,0.063,0.027,831.648,4.547,53.8,16.974,1.285,11.854,0.0,9.724,0.026,0.01,0.106
208,SJA5143000,2020,8.25,0.456,177338650.0,26.091,0.431,0.038,13.621,1.0,0.22,0.017,828.304,6.432,53.178,20.732,1.308,8.273,0.0,10.043,0.021,0.003,0.034
209,SJA5147000,2019,2.653,0.232,101928550.0,25.679,0.544,0.097,47.382,0.8,0.06,0.022,745.322,5.357,58.798,15.522,1.441,11.067,0.0,9.797,0.016,0.004,0.086
210,SJA5147000,2020,3.046,0.232,101928550.0,25.679,0.544,0.097,47.382,0.8,0.06,0.022,759.694,5.357,58.798,15.522,1.441,11.067,0.0,9.797,0.016,0.004,0.086
211,SJA5175000,2020,2.148,0.226,12316825.0,16.142,0.451,0.103,73.332,0.933,0.001,0.084,834.451,3.319,73.692,10.166,1.68,5.843,0.001,9.487,0.124,0.012,0.0
212,SJA5192000,2018,1.14,0.107,96906425.0,17.286,0.834,0.026,91.359,0.891,0.017,0.006,579.042,3.455,73.352,9.361,0.93,7.172,0.0,9.629,0.006,0.0,0.021
213,SJA5203000,2017,1.592,0.148,269250125.0,31.325,0.512,0.028,33.414,1.0,0.014,0.009,855.709,2.25,50.314,18.361,0.762,13.507,0.0,10.125,0.007,0.022,0.274
214,SJA5203000,2018,2.072,0.148,269250125.0,31.325,0.512,0.028,33.414,1.0,0.014,0.009,610.164,2.25,50.314,18.361,0.762,13.507,0.0,10.125,0.007,0.022,0.274
215,SJA5208000,2019,1.748,0.216,84863050.0,26.968,0.648,0.04,57.931,0.795,0.0,0.009,870.338,2.798,60.054,12.978,0.97,11.117,0.001,9.602,0.015,0.005,0.068
216,SJA5230000,2016,0.942,0.266,591372600.0,18.386,0.529,0.067,56.19,0.046,0.078,0.033,885.381,2.473,69.574,12.039,3.212,6.915,0.001,8.537,0.041,0.031,0.032
217,SJA5258000,2016,4.658,0.316,300674675.0,22.041,0.484,0.077,38.923,0.652,0.084,0.017,845.137,7.612,60.694,17.265,1.938,8.857,0.0,9.605,0.021,0.005,0.08
218,SJA5258000,2017,3.292,0.316,300674675.0,22.041,0.484,0.077,38.923,0.652,0.084,0.017,829.488,7.612,60.694,17.265,1.938,8.857,0.0,9.605,0.021,0.005,0.08
219,SJA5258000,2018,2.667,0.316,300674675.0,22.041,0.484,0.077,38.923,0.652,0.084,0.017,564.95,7.612,60.694,17.265,1.938,8.857,0.0,9.605,0.021,0.005,0.08
220,SJA5258000,2019,4.038,0.316,300674675.0,22.041,0.484,0.077,38.923,0.652,0.084,0.017,784.032,7.612,60.694,17.265,1.938,8.857,0.0,9.605,0.021,0.005,0.08
221,SJA5258000,2020,4.136,0.316,300674675.0,22.041,0.484,0.077,38.923,0.652,0.084,0.017,800.898,7.612,60.694,17.265,1.938,8.857,0.0,9.605,0.021,0.005,0.08
222,SJA5317000,2016,7.175,0.51,109004800.0,14.134,0.339,0.044,25.344,0.963,0.123,0.04,859.791,8.971,66.012,19.854,1.644,3.954,0.0,9.8,0.065,0.001,0.0
223,SJA5317000,2019,9.4,0.51,109004800.0,14.134,0.339,0.044,25.344,0.963,0.123,0.04,753.344,8.971,66.012,19.854,1.644,3.954,0.0,9.8,0.065,0.001,0.0
224,SJA5317000,2020,9.65,0.51,109004800.0,14.134,0.339,0.044,25.344,0.963,0.123,0.04,769.801,8.971,66.012,19.854,1.644,3.954,0.0,9.8,0.065,0.001,0.0
225,SJA5357000,2016,3.075,0.215,97323725.0,25.715,0.714,0.028,10.666,1.0,0.08,0.007,818.058,4.25,49.827,24.458,0.967,7.558,0.001,9.923,0.012,0.001,0.022
226,SJA5550000,2016,1.85,0.419,12797750.0,19.225,0.278,0.079,19.98,0.0,0.279,0.026,820.644,3.542,63.204,17.571,1.964,6.523,0.0,9.862,0.103,0.003,0.092
227,SJA5636000,2016,2.075,0.301,6195145299.16,25.586,0.484,0.046,31.874,0.416,0.091,0.019,830.901,3.321,57.368,17.046,1.587,9.61,0.001,9.622,0.021,0.052,0.062
228,SJA5660000,2017,0.99,0.176,248116825.0,18.781,0.6,0.046,46.083,0.0,0.108,0.032,914.262,3.171,65.917,15.303,0.965,8.157,0.001,9.979,0.016,0.005,0.093
229,SJA5768000,2016,3.917,0.427,221519650.0,19.21,0.419,0.091,39.392,0.662,0.081,0.026,844.996,4.997,67.834,12.956,1.671,6.639,0.001,9.724,0.025,0.005,0.007
